Location,Property,"Employee Number","Bags of Salt Used? ","Bags of Calcium Used? ","How many Guys Servicing Property?","Total Man Hours of all Guys?","Submission Date","Submitted By","Assigned To"
"Sec 24 - Elmhurst","777 Church",205,4,0,2,8,"2015-12-29 07:36:36","SnowPlus Staff","Jim Jungles"
"Sec 24 - Elmhurst","949 - 853 Larch",205,4,0,2,8,"2015-12-29 07:35:51","SnowPlus Staff","Jim Jungles"
"Sec 24 - Elmhurst","11700 Grand",205,4,0,2,8,"2015-12-29 07:34:15","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemount","3708 River",205,10,0,2,12,"2015-12-29 07:31:42","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemount","Columbia Center III",205,12,0,2,12,"2015-12-29 07:30:29","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemount","Columbia Center I & II",205,22,0,2,24,"2015-12-29 07:29:10","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemount","Columbia Center I & II",205,12,0,2,12,"2015-12-29 07:28:08","SnowPlus Staff","Jim Jungles"
"Sec 20 - Elk Grove Village North","1723 Marshall",205,3,0,2,8,"2015-12-29 07:21:04","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1500 Higgins Rd",205,4,0,2,8,"2015-12-29 07:19:50","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building Industrial Center",205,4,0,2,8,"2015-12-29 07:19:02","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building E & F",205,4,0,2,8,"2015-12-29 07:18:07","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building A",205,4,0,2,8,"2015-12-29 07:17:21","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building B",205,4,0,2,8,"2015-12-29 07:16:23","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Tech Center I",205,4,0,2,8,"2015-12-29 07:15:37","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1800 Landmeier",205,4,0,2,8,"2015-12-29 07:14:55","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Tech Center II",205,4,0,2,8,"2015-12-29 07:14:16","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","951 Fargo",205,4,0,2,8,"2015-12-29 07:13:03","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1601 Pratt",205,5,0,2,8,"2015-12-29 07:03:11","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt",205,6,0,2,9,"2015-12-29 07:02:20","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201 Kirk",205,4,0,2,8,"2015-12-29 07:01:14","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2901 Lively",205,4,0,2,8,"2015-12-29 07:00:14","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2521 Lively",205,3,0,2,7,"2015-12-29 06:59:26","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1107 Mark",205,3,0,2,7,"2015-12-29 06:58:34","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1239-1251 Mark",205,3,0,2,7,"2015-12-29 06:57:48","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1300 Mark",205,3,0,2,7,"2015-12-29 06:56:54","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark",205,3,0,2,7,"2015-12-29 06:56:04","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1301-1401 Mark",205,4,0,2,8,"2015-12-29 06:54:36","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2781 Katherine",205,4,0,2,8,"2015-12-29 06:53:45","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1350 Kirk",205,3,0,2,7,"2015-12-29 06:52:10","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1209 Thorndale",205,2,0,2,7,"2015-12-29 06:49:40","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1100 Thorndale",205,4,0,2,8,"2015-12-29 06:48:34","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2700 Carl",205,4,0,2,8,"2015-12-29 06:47:19","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 Carl",205,5,0,2,8,"2015-12-29 06:45:11","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","900 Thorndale",205,4,0,2,8,"2015-12-29 06:44:04","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","900 Thorndale",205,4,0,2,8,"2015-12-29 06:43:53","SnowPlus Staff","Ernie Vargas"
"Sec 18 - Mt. Prospect-Glenview","1471 Business Center",205,7,0,2,11,"2015-12-29 06:42:26","SnowPlus Staff","Bobby Gomez"
"Sec 18 - Mt. Prospect-Glenview","1000 Milwaukee",205,6,0,2,10,"2015-12-29 06:41:21","SnowPlus Staff","Bobby Gomez"
"Sec 01 - Addison","2171 Executive",419,0,0,3,2,"2015-12-29 00:57:41","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","2171 Executive",419,0,0,3,2,"2015-12-29 00:57:41","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,0,0,4,3,"2015-12-29 00:57:41","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","710 Belden",419,0,0,4,2,"2015-12-29 00:57:39","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","2171 Executive",419,0,0,3,2,"2015-12-29 00:56:51","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","2171 Executive",419,0,0,3,2,"2015-12-29 00:56:48","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","710 Belden",419,0,0,4,2,"2015-12-29 00:55:51","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,0,0,4,3,"2015-12-29 00:54:51","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,1,0,7,5,"2015-12-29 00:53:24","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,0,0,4,2,"2015-12-29 00:53:24","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,0,0,4,2,"2015-12-29 00:53:24","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,0,0,4,2,"2015-12-29 00:53:09","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,0,0,4,2,"2015-12-29 00:52:56","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,1,0,7,5,"2015-12-29 00:50:23","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","Devry University",419,0,0,7,11,"2015-12-29 00:48:40","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","Devry University",419,0,0,7,11,"2015-12-28 19:04:31","SnowPlus Staff","Wally Sternberg"
"Sec 27 - Joliet","4001 Rock Creek",582,3,1,3,150,"2015-12-28 18:34:17","SnowPlus Staff","Bob Inabnit"
"Sec 27 - Joliet","1695 Crossroads",582,5,1,3,250,"2015-12-28 18:24:21","SnowPlus Staff","Bob Inabnit"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,0,0,3,2,"2015-12-28 16:40:15","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,0,0,3,2,"2015-12-28 16:39:20","SnowPlus Staff","Wally Sternberg"
"Sec 25 - Glendale Heights","139 Army Trail",419,0,0,3,25,"2015-12-28 12:50:17","SnowPlus Staff","Paul Steinhauer"
"Sec 01 - Addison","2171 Executive",419,1,0,3,2,"2015-12-28 12:09:23","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,1,0,3,1,"2015-12-28 12:05:30","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,1,0,3,1,"2015-12-28 11:47:13","SnowPlus Staff","Wally Sternberg"
"Sec 08 - Berkley","5000 Proviso",575,4,0,4,8,"2015-12-28 11:27:03","SnowPlus Staff","Jim Jungles"
"Sec 01 - Addison","710 Belden",419,1,0,3,1,"2015-12-28 11:15:11","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,1,0,3,1,"2015-12-28 11:12:31","SnowPlus Staff","Wally Sternberg"
"Sec 08 - Berkley","Melrose Park Center",575,36,0,4,8,"2015-12-28 09:49:58","SnowPlus Staff","Jim Jungles"
"Sec 08 - Berkley","5000 Proviso",575,12,0,4,8,"2015-12-28 09:39:17","SnowPlus Staff","Jim Jungles"
"Sec 25 - Glendale Heights","180 Exchange",419,2,0,3,2,"2015-12-28 09:24:40","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","110 International",419,4,0,3,2,"2015-12-28 09:22:29","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","80 International",416,6,0,3,2,"2015-12-28 09:21:00","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","111 International",419,3,0,3,2,"2015-12-28 09:19:36","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","139 Army Trail",419,6,0,3,3,"2015-12-28 09:18:01","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","139 Army Trail",419,6,0,3,3,"2015-12-28 09:17:57","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","699 Regency",419,5,0,3,3,"2015-12-28 09:15:30","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","1620 & 1640 Fullerton Ct",419,8,0,3,2,"2015-12-28 09:14:03","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","1601 & 1625 Fullerton",419,9,0,3,3,"2015-12-28 09:09:48","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","1601 & 1625 Fullerton",419,9,0,3,3,"2015-12-28 09:09:44","SnowPlus Staff","Paul Steinhauer"
"Sec 01 - Addison","710 Belden",419,5,0,3,3,"2015-12-28 09:03:15","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,7,0,3,3,"2015-12-28 09:01:09","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,7,0,3,3,"2015-12-28 09:00:54","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,8,0,3,3,"2015-12-28 09:00:07","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","Devry University",419,5,0,3,2,"2015-12-28 08:58:29","SnowPlus Staff","Wally Sternberg"
"Sec 27 - Joliet","3311 & 3325 Corporate",582,12,0,3,450,"2015-12-28 08:40:37","SnowPlus Staff","Bob Inabnit"
"Sec 01 - Addison","2171 Executive",419,5,0,3,2,"2015-12-28 08:37:32","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,4,0,3,2,"2015-12-28 08:33:07","SnowPlus Staff","Wally Sternberg"
"Sec 27 - Joliet","3311 & 3325 Corporate",582,6,5,3,450,"2015-12-28 08:26:20","SnowPlus Staff","Bob Inabnit"
